Timestamp,id,Do you consider yourself a Rust expert?,Are you 18 years or older and able to communicate well in English?,"In this study, you will solve a sequence of debugging tasks in Rust. You are required to think aloud and share your screen for the duration of the 1-hour experiment. Recordings of the study session will be kept encrypted on a Brown-owned file service and seen only by members of the Cognitive Engineering Lab.

Do you consent to these procedures?",What is your current occupation?,How many years total have you been programming?,Are you employed to use Rust?,How many years have you used Rust?,With which other programing languages are you familiar? [C],With which other programing languages are you familiar? [C++],With which other programing languages are you familiar? [Python],With which other programing languages are you familiar? [JavaScript],With which other programing languages are you familiar? [TypeScript],With which other programing languages are you familiar? [Java],With which other programing languages are you familiar? [Scala],With which other programing languages are you familiar? [Swift],With which other programing languages are you familiar? [Lean],With which other programing languages are you familiar? [Haskell],With which other programing languages are you familiar? [OCaml],Indicate which of the following crates (if any) you have used,Is VS Code your primary code editor?,Book a study session by visiting,Have you used async Rust?,A brief quiz!
8/30/2024 15:15:46,1,No,Yes,Yes,Professional Programmer,7,Yes,1.0,No Experience,No Experience,No Experience,Significant Experience,Significant Experience,No Experience,No Experience,No Experience,No Experience,No Experience,Significant Experience,Axum,Yes,I've booked a time slot and will complete the pre-study instructions,,
8/30/2024 15:16:33,2,No,Yes,Yes,Network Engineer ,1,No,1.0,Light Experience,No Experience,Significant Experience,No Experience,No Experience,Light Experience,No Experience,Light Experience,No Experience,No Experience,No Experience,,Yes,I've booked a time slot and will complete the pre-study instructions,,
8/30/2024 15:21:53,3,No,Yes,Yes,Professional Programmer,3,No,1.0,No Experience,Light Experience,Light Experience,Significant Experience,No Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,No Experience,,Yes,I've booked a time slot and will complete the pre-study instructions,,
8/30/2024 15:24:14,4,No,Yes,Yes,Student,7,No,2.0,Light Experience,Light Experience,Significant Experience,Significant Experience,Significant Experience,Significant Experience,No Experience,No Experience,No Experience,No Experience,No Experience,Axum,No,I've booked a time slot and will complete the pre-study instructions,,
8/30/2024 15:24:16,5,No,Yes,Yes,Professional Programmer,21,Yes,2.0,Light Experience,Light Experience,Significant Experience,Significant Experience,Light Experience,Significant Experience,No Experience,No Experience,No Experience,No Experience,No Experience,,Yes,I've booked a time slot and will complete the pre-study instructions,,
8/30/2024 15:24:37,6,No,Yes,Yes,"Student, Researcher, Professional Programmer",10,No,0.5,Light Experience,Significant Experience,Significant Experience,Light Experience,Light Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,No Experience,Bevy,No,I'll send Gavin an email to find a time that works for me,,
8/30/2024 15:25:07,7,No,Yes,Yes,Professional Programmer,4,No,0.5,Light Experience,Light Experience,Light Experience,Significant Experience,Significant Experience,No Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,"Axum, Bevy, Diesel",Yes,I've booked a time slot and will complete the pre-study instructions,,
8/30/2024 15:25:53,8,No,Yes,Yes,Professional Programmer,7,Yes,1.0,No Experience,No Experience,Significant Experience,Light Experience,Light Experience,Significant Experience,No Experience,No Experience,No Experience,No Experience,No Experience,,Yes,I've booked a time slot and will complete the pre-study instructions,,
8/30/2024 15:29:21,9,No,Yes,Yes,Student,4,No,1.0,Light Experience,Significant Experience,Significant Experience,Significant Experience,Significant Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,No Experience,,Yes,I've booked a time slot and will complete the pre-study instructions,,
8/30/2024 15:47:34,10,No,Yes,Yes,Professional Programmer,17,No,1.0,Light Experience,Light Experience,Significant Experience,Significant Experience,No Experience,Significant Experience,Light Experience,No Experience,No Experience,No Experience,No Experience,"Diesel, Rocket",No,I've booked a time slot and will complete the pre-study instructions,,
