id,name,has-argus,start,end,found_rc,result,distractors,tried-impl,help-me-no-answer,help-me-answer,debug-type-instance,break_start,break_end
1,,,,,,,,,,,,,
2,,,,,,,,,,,,,
3,,,,,,,,,,,,,
4,galaxy-0,n,00:28:20,00:37:29,,u,0,0,0,0,0,,
5,galaxy-0,y,00:29:28,00:38:07,,s,0,2,,2,1,,
6,,,,,,,,,,,,,
7,galaxy-0,n,00:18:18,00:28:04,,u,,0,0,1,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,axum-0,n,00:28:18,00:38:00,,u,0,0,0,0,0,,
11,bevy-1,n,00:18:11,00:29:46,,u,0,1,0,0,0,,
12,galaxy-3,n,00:28:06,00:38:13,,u,1,0,0,0,0,,
13,galaxy-0,y,00:25:09,00:33:14,,s,0,0,0,0,0,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,axum-0,y,00:26:27,00:36:59,,u,1,0,0,0,0,,
19,greenhouse-1,n,00:30:52,00:40:59,,u,0,0,0,0,0,,
20,,,,,,,,,,,,,
21,,,,,,,,,,,,,
22,,,,,,,,,,,,,
23,diesel-0,y,00:26:18,00:36:31,,u,0,0,0,0,0,,
24,greenhouse-2,n,00:25:26,00:33:03,,s,0,0,0,0,0,,
25,,,,,,,,,,,,,
26,axum-0,n,00:31:15,00:41:42,,u,0,0,0,0,0,,
27,diesel-3,y,00:22:37,00:30:37,,s,0,0,0,0,0,,
28,galaxy-0,y,00:22:24,00:32:26,,s,0,1,0,4,0,,
29,,,,,,,,,,,,,
30,axum-0,n,00:25:29,00:31:47,,s,0,0,0,0,0,,
31,,,,,,,,,,,,,
32,,,,,,,,,,,,,
33,,,,,,,,,,,,,
34,,,,,,,,,,,,,
35,,,,,,,,,,,,,
36,,,,,,,,,,,,,
37,,,,,,,,,,,,,
38,bevy-0,y,00:22:16,00:31:42,00:26:08,s,0,0,0,0,0,,
39,,,,,,,,,,,,,
40,,,,,,,,,,,,,
41,diesel-0,n,00:27:37,00:33:15,,s,0,0,0,0,0,,
42,,,,,,,,,,,,,
43,diesel-0,n,00:33:21,00:43:29,,u,0,0,0,0,0,,
44,,,,,,,,,,,,,
45,,,,,,,,,,,,,
46,,,,,,,,,,,,,
47,,,,,,,,,,,,,
48,axum-0,y,00:32:22,00:42:37,,u,0,0,0,0,0,,
49,,,,,,,,,,,,,
50,bevy-0,n,00:31:14,00:41:52,,u,0,0,0,0,0,,
51,,,,,,,,,,,,,
52,,,,,,,,,,,,,
53,galaxy-3,n,00:32:28,00:42:50,,u,1,0,0,0,0,,
54,,,,,,,,,,,,,
55,,,,,,,,,,,,,
56,bevy-0,n,00:35:25,00:45:35,,u,0,0,0,0,0,,
57,diesel-0,n,00:28:15,00:32:02,,s,0,0,0,0,0,,
58,greenhouse-1,n,00:27:14,00:34:53,,s,0,0,0,0,0,,
59,diesel-0,y,00:10:16,00:11:54,,s,0,0,0,0,0,,
60,,,,,,,,,,,,,
61,,,,,,,,,,,,,
62,bevy-0,n,00:27:39,00:37:50,00:37:30,u,0,0,0,0,0,,
63,axum-0,y,00:29:33,00:30:31,,s,0,0,0,0,0,,
64,galaxy-0,y,00:19:52,00:30:55,,u,0,0,0,0,0,,
65,axum-0,n,00:23:38,00:33:42,,u,0,0,0,0,0,,
66,bevy-0,y,00:26:54,00:32:11,,s,0,0,0,0,0,,
67,bevy-0,n,00:28:46,00:39:40,,s,0,0,0,0,0,,
68,axum-0,y,00:22:31,00:28:36,,s,0,0,0,0,0,,
69,greenhouse-1,y,00:27:11,00:28:37,,s,0,0,0,0,0,,
70,,,,,,,,,,,,,
71,,,,,,,,,,,,,
72,,,,,,,,,,,,,
73,greenhouse-1,y,00:29:40,00:39:59,,u,0,0,0,0,0,,
74,greenhouse-0,y,00:24:07,00:31:15,00:28:44,s,0,0,0,0,0,,
75,axum-0,y,00:27:08,00:35:30,,s,0,0,0,0,0,,
