workspace,filename,rank
"diesel","src/bad_insertable_field.rs",0
"diesel","src/invalid_query.rs",0
"diesel","src/invalid_select.rs",0
"axum","src/tests/argument_not_extractor.rs",2
"axum","src/tests/extract_self_mut.rs",2
"axum","src/tests/extract_self_ref.rs",2
"axum","src/tests/missing_deserialize.rs",2
"axum","src/tests/multiple_body_extractors.rs",2
"axum","src/tests/not_a_function.rs",2
"axum","src/tests/not_async.rs",2
"axum","src/tests/not_send.rs",5
"axum","src/tests/request_not_last.rs",2
"axum","src/tests/too_many_extractors.rs",2
"axum","src/tests/wrong_return_type.rs",2
"entrait","src/missing_impl_deep.rs",3
"bevy","src/main.rs",6
"nalgebra","src/mat_mul.rs",8
