id,version,inlay_types
1,,FALSE
2,,FALSE
3,,FALSE
4,1,FALSE
5,1,FALSE
6,,FALSE
7,0,FALSE
8,,FALSE
9,,FALSE
10,1,FALSE
11,0,FALSE
12,3,TRUE
13,1,FALSE
14,,FALSE
15,,FALSE
16,,FALSE
17,,FALSE
18,1,FALSE
19,3,TRUE
20,,FALSE
21,,FALSE
22,,FALSE
23,3,TRUE
24,1,FALSE
25,,FALSE
26,2,FALSE
27,1,FALSE
28,1,FALSE
29,,FALSE
30,3,FALSE
31,,FALSE
32,,FALSE
33,,FALSE
34,,FALSE
35,,FALSE
36,,FALSE
37,,FALSE
38,3,TRUE
39,,FALSE
40,,FALSE
41,3,FALSE
42,,FALSE
43,3,TRUE
44,,FALSE
45,,FALSE
46,,FALSE
47,,TRUE
48,3,TRUE
49,,FALSE
50,3,TRUE
51,,FALSE
52,,FALSE
53,3,TRUE
54,,FALSE
55,,FALSE
56,3,TRUE
57,3,TRUE
58,3,TRUE
59,3,TRUE
60,,FALSE
61,,FALSE
62,3,TRUE
63,3,TRUE
64,3,TRUE
65,3,TRUE
66,3,FALSE
67,3,TRUE
68,3,TRUE
69,3,TRUE
70,,FALSE
71,,FALSE
72,,FALSE
73,3,TRUE
74,3,TRUE
75,3,TRUE
