id,name,has-argus,start,end,found_rc,result,tried-impl,help-me-no-answer,help-me-answer,distractors,debug-type-instance,break_start,break_end
1,,,,,,,,,,,,,
2,,,,,,,,,,,,,
3,,,,,,,,,,,,,
4,bevy-1,y,00:56:19,01:06:59,,u,0,0,0,1,0,,
5,axum-0,n,00:54:16,00:58:40,,s,2,,2,0,1,,
6,,,,,,,,,,,,,
7,axum-0,y,00:45:42,00:58:11,,u,0,0,1,,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,galaxy-0,y,00:48:11,00:58:01,,u,1,1,0,1,0,,
11,axum-0,y,00:46:11,00:49:19,,s,0,0,0,0,0,,
12,bevy-0,y,00:51:41,01:01:55,00:54:43,u,0,0,0,0,0,,
13,axum-0,n,00:51:13,00:58:50,,s,0,0,0,0,0,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,greenhouse-0,n,00:50:05,00:56:07,,s,0,0,0,0,0,,
19,axum-0,y,00:50:02,00:53:50,00:51:57,q,0,0,0,0,0,,
20,,,,,,,,,,,,,
21,,,,,,,,,,,,,
22,,,,,,,,,,,,,
23,greenhouse-0,n,00:53:25,01:03:35,,u,0,0,0,0,0,,
24,diesel-3,y,00:43:33,00:47:20,,s,0,0,0,0,0,,
25,,,,,,,,,,,,,
26,galaxy-3,y,00:54:04,01:04:17,,u,0,0,0,0,0,,
27,greenhouse-2,n,00:47:58,00:53:40,,s,0,0,0,0,1,,
28,bevy-1,n,00:49:27,00:55:07,,s,1,0,4,0,0,,
29,,,,,,,,,,,,,
30,diesel-0,y,00:45:28,00:48:41,,s,0,0,0,0,0,,
31,,,,,,,,,,,,,
32,,,,,,,,,,,,,
33,,,,,,,,,,,,,
34,,,,,,,,,,,,,
35,,,,,,,,,,,,,
36,,,,,,,,,,,,,
37,,,,,,,,,,,,,
38,axum-0,n,00:43:41,00:47:26,00:47:08,s,0,0,0,0,0,,
39,,,,,,,,,,,,,
40,,,,,,,,,,,,,
41,bevy-0,y,00:50:49,00:57:28,00:53:42,q,0,0,0,0,0,,
42,,,,,,,,,,,,,
43,greenhouse-1,y,00:55:17,01:05:35,01:01:12,u,0,0,0,0,0,,
44,,,,,,,,,,,,,
45,,,,,,,,,,,,,
46,,,,,,,,,,,,,
47,,,,,,,,,,,,,
48,greenhouse-0,n,00:57:28,01:07:30,,u,0,0,0,0,0,,
49,,,,,,,,,,,,,
50,axum-0,y,00:59:13,01:09:17,,u,0,0,0,0,0,,
51,,,,,,,,,,,,,
52,,,,,,,,,,,,,
53,diesel-0,y,01:06:18,01:16:46,01:09:35,u,0,0,0,0,0,,
54,,,,,,,,,,,,,
55,,,,,,,,,,,,,
56,axum-0,y,01:05:30,01:07:55,01:07:38,s,0,0,0,0,0,,
57,bevy-0,y,00:43:22,00:51:13,00:44:50,s,0,0,0,0,0,,
58,axum-0,y,00:49:40,00:52:49,00:51:50,s,0,0,0,0,0,,
59,greenhouse-1,n,00:32:12,00:33:46,,s,0,0,0,0,0,,
60,,,,,,,,,,,,,
61,,,,,,,,,,,,,
62,diesel-0,y,00:47:46,00:57:51,00:49:43,u,0,0,0,0,0,,
63,bevy-0,n,00:41:54,00:47:30,00:46:49,s,0,0,0,0,0,,
64,galaxy-3,n,00:48:08,00:52:04,00:50:21,s,0,0,0,0,0,,
65,greenhouse-0,y,00:51:10,00:55:53,00:54:10,s,0,0,0,0,0,,
66,galaxy-3,n,00:45:23,00:55:50,00:53:07,s,0,0,0,0,0,,
67,diesel-0,y,01:06:10,01:16:29,,u,0,0,0,0,0,,
68,bevy-0,n,00:47:43,00:57:50,,u,0,0,0,0,0,,
69,diesel-0,n,00:43:17,00:53:39,00:53:31,u, ,0,0,0,0,,
70,,,,,,,,,,,,,
71,,,,,,,,,,,,,
72,,,,,,,,,,,,,
73,diesel-0,n,00:57:23,01:07:36,,u,0,0,0,0,0,,
74,bevy-0,n,00:43:35,00:51:08,00:48:20,s,0,0,0,0,0,,
75,bevy-0,n,00:46:47,00:56:39,,q,0,0,0,0,0,,
