id,name,has-argus,start,end,found_rc,result,distractors,tried-impl,help-me-no-answer,help-me-answer,debug-type-instance,break_start,break_end
1,,,,,,,,,,,,,
2,,,,,,,,,,,,,
3,,,,,,,,,,,,,
4,greenhouse-1,y,00:41:08,00:51:30,,s,1,0,0,0,0,,
5,galaxy-2,n,00:41:13,00:50:46,,u,0,2,,2,1,,
6,,,,,,,,,,,,,
7,greenhouse-1,y,00:28:30,00:45:18,,u,,0,0,1,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,greenhouse-1,y,00:41:31,00:44:55,,s,0,0,0,0,0,,
11,galaxy-3,y,00:30:36,00:45:42,,u,0,1,0,1,0,,
12,greenhouse-0,y,00:41:14,00:47:44,,s,0,0,0,0,0,,
13,greenhouse-1,n,00:39:05,00:48:56,,s,0,0,0,0,0,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,greenhouse-1,n,00:41:13,00:48:00,,s,0,0,0,0,0,,
19,galaxy-0,y,00:42:49,00:48:06,00:44:37,q,0,0,0,0,0,,
20,,,,,,,,,,,,,
21,,,,,,,,,,,,,
22,,,,,,,,,,,,,
23,bevy-0,n,00:40:29,00:51:16,,u,0,0,0,0,0,,
24,greenhouse-0,y,00:34:57,00:41:16,,s,0,1,1,0,0,,
25,,,,,,,,,,,,,
26,galaxy-0,y,00:44:17,00:51:07,,s,0,0,0,0,0,,
27,galaxy-0,n,00:34:24,00:44:50,,u,0,0,0,0,0,,
28,galaxy-2,n,00:36:23,00:46:59,,u,0,1,0,4,0,,
29,,,,,,,,,,,,,
30,galaxy-3,y,00:34:36,00:39:41,,s,0,0,0,0,0,,
31,,,,,,,,,,,,,
32,,,,,,,,,,,,,
33,,,,,,,,,,,,,
34,,,,,,,,,,,,,
35,,,,,,,,,,,,,
36,,,,,,,,,,,,,
37,,,,,,,,,,,,,
38,galaxy-3,n,00:35:34,00:40:09,00:39:29,s,0,0,0,0,0,,
39,,,,,,,,,,,,,
40,,,,,,,,,,,,,
41,galaxy-0,y,00:36:33,00:47:11,,s,0,0,0,0,0,,
42,,,,,,,,,,,,,
43,greenhouse-0,y,00:46:16,00:52:09,,s,0,0,0,0,0,,
44,,,,,,,,,,,,,
45,,,,,,,,,,,,,
46,,,,,,,,,,,,,
47,,,,,,,,,,,,,
48,greenhouse-0,n,00:45:40,00:55:44,,u,0,0,0,0,0,,
49,,,,,,,,,,,,,
50,axum-0,y,00:46:17,00:56:24,,u,0,0,0,0,0,,
51,,,,,,,,,,,,,
52,,,,,,,,,,,,,
53,galaxy-0,y,00:46:58,00:57:21,,u,1,0,0,0,0,,
54,,,,,,,,,,,,,
55,,,,,,,,,,,,,
56,galaxy-3,y,00:48:58,00:58:46,,u,0,0,0,0,0,,
57,greenhouse-0,y,00:34:43,00:40:03,,s,0,0,0,0,0,,
58,galaxy-0,y,00:37:25,00:45:14,,s,0,0,0,0,0,,
59,galaxy-0,n,00:19:52,00:29:47,,u,0,0,0,0,0,,
60,,,,,,,,,,,,,
61,,,,,,,,,,,,,
62,greenhouse-1,y,00:40:34,00:43:55,00:42:47,s,0,0,0,0,0,,
63,greenhouse-1,n,00:35:02,00:38:23,,s,0,0,0,0,0,,
64,diesel-0,n,00:34:34,00:43:49,,f,0,0,0,0,0,,
65,greenhouse-1,y,00:38:12,00:45:59,,f,0,0,0,0,0,,
66,greenhouse-0,n,00:36:06,00:43:38,,s,0,0,0,0,0,,
67,greenhouse-0,y,00:46:22,00:55:26,,s,0,0,0,0,0,,
68,greenhouse-0,n,00:35:02,00:44:26,,s,0,0,0,0,0,,
69,galaxy-0,n,00:33:59,00:40:10,,s,0,0,0,0,0,,
70,,,,,,,,,,,,,
71,,,,,,,,,,,,,
72,,,,,,,,,,,,,
73,galaxy-0,n,00:44:01,00:54:18,,u,0,0,0,0,0,,
74,greenhouse-1,n,00:37:02,00:39:44,00:39:00,s,0,0,0,0,0,,
75,greenhouse-1,n,00:38:08,00:43:35,,s,0,0,0,0,0,,
