Label,N,Time
PERF,19,0.0000
PERF,13,0.0000
PERF,7,0.0000
PERF,5,0.0000
PERF,7,0.0000
PERF,41,0.0000
PERF,29821,0.0008
PERF,4126,0.0001
PERF,41,0.0000
PERF,1180,0.0000
PERF,3848,0.0000
PERF,34,0.0000
PERF,29821,0.0008
PERF,36794,0.0001
PERF,1332,0.0000
PERF,1419,0.0003
PERF,687,0.0001
PERF,530,0.0001
PERF,1822,0.0003
PERF,2609,0.0037
PERF,4139,0.0000
PERF,1539,0.0000
PERF,1539,0.0000
PERF,1,0.0000
PERF,29821,0.0008
PERF,4137,0.0000
PERF,1,0.0000
PERF,6497,0.0046
PERF,1103,0.0004
PERF,3979,0.0000
PERF,1451,0.0000
PERF,1451,0.0000
PERF,1,0.0000
PERF,6479,0.0048
PERF,3977,0.0000
PERF,22,0.0000
PERF,10576,0.0048
PERF,6,0.0000
PERF,24,0.0000
PERF,2617,0.0045
PERF,6507,0.0037
PERF,6489,0.0039
PERF,14488,0.0042
PERF,6,0.0000
PERF,2617,0.0036
PERF,6507,0.0036
PERF,6489,0.0041
PERF,14488,0.0041
PERF,6,0.0000
PERF,90,0.0000
PERF,6,0.0000
PERF,5,0.0000
PERF,1,0.0000
PERF,1,0.0000
PERF,2629,0.0033
PERF,6517,0.0038
PERF,6499,0.0040
PERF,10612,0.0038
PERF,6,0.0000
PERF,2649,0.0036
PERF,6537,0.0041
PERF,6519,0.0040
PERF,10900,0.0038
PERF,6,0.0000
PERF,264,0.0000
PERF,6,0.0000
PERF,5,0.0000
PERF,1,0.0000
PERF,1,0.0000
PERF,2606,0.0033
PERF,6706,0.0037
PERF,6688,0.0038
PERF,6,0.0000
PERF,2554,0.0036
PERF,6480,0.0035
PERF,6462,0.0038
PERF,6,0.0000
PERF,1,0.0000
PERF,1,0.0000
PERF,5,0.0000
PERF,1,0.0000
PERF,1,0.0000
PERF,2605,0.0036
PERF,6539,0.0037
PERF,6521,0.0039
PERF,14960,0.0056
PERF,10666,0.0043
PERF,6,0.0000
PERF,18478,0.0061
PERF,2999,0.0037
PERF,6887,0.0035
PERF,18478,0.0061
PERF,6869,0.0046
PERF,12952,0.0041
PERF,6,0.0000
PERF,2606,0.0035
PERF,6706,0.0033
PERF,6688,0.0036
PERF,19720,0.0038
PERF,6,0.0000
PERF,2597,0.0034
PERF,6531,0.0033
PERF,6513,0.0037
PERF,10540,0.0038
PERF,6,0.0000
PERF,6,0.0000
PERF,6,0.0000
PERF,6,0.0000
PERF,6,0.0000
