id,name,has-argus,start,end,found_rc,result,distractors,tried-impl,help-me-no-answer,help-me-answer,debug-type-instance,break_start,break_end
1,,,,,,,,,,,,,
2,,,,,,,,,,,,,
3,,,,,,,,,,,,,
4,galaxy-3,n,00:14:31,00:25:45,,u,1,0,0,0,0,,
5,greenhouse-2,y,00:17:36,00:26:59,,u,0,2,,2,1,,
6,,,,,,,,,,,,,
7,galaxy-3,n,00:09:08,00:17:40,,f,,0,0,1,,,
8,,,,,,,,,,,,,
9,,,,,,,,,,,,,
10,galaxy-3,n,00:15:59,00:25:54,,s,0,0,0,0,0,,
11,greenhouse-1,n,00:07:51,00:17:51,,u,0,1,0,0,0,,
12,galaxy-0,n,00:14:51,00:25:31,,u,0,0,0,0,0,,
13,galaxy-3,y,00:14:18,00:21:49,,s,0,0,0,0,0,,
14,,,,,,,,,,,,,
15,,,,,,,,,,,,,
16,,,,,,,,,,,,,
17,,,,,,,,,,,,,
18,galaxy-3,y,00:15:34,00:24:59,,f,0,0,0,0,0,,
19,greenhouse-0,n,00:17:13,00:27:55,,u,0,0,0,0,0,,
20,,,,,,,,,,,,,
21,,,,,,,,,,,,,
22,,,,,,,,,,,,,
23,galaxy-0,y,00:10:52,00:21:16,00:13:25,u,1,0,0,0,0,,
24,galaxy-0,n,00:12:28,00:22:30,,u,0,0,0,0,0,,
25,,,,,,,,,,,,,
26,greenhouse-0,n,00:19:05,00:29:11,,u,0,0,0,0,0,,
27,greenhouse-0,y,00:11:03,00:18:22,,s,0,1,0,0,0,,
28,greenhouse-2,y,00:09:56,00:20:31,,u,0,1,0,4,1,,
29,,,,,,,,,,,,,
30,greenhouse-1,n,00:12:25,00:22:53,,u,0,0,0,0,0,,
31,,,,,,,,,,,,,
32,,,,,,,,,,,,,
33,,,,,,,,,,,,,
34,,,,,,,,,,,,,
35,,,,,,,,,,,,,
36,,,,,,,,,,,,,
37,,,,,,,,,,,,,
38,greenhouse-1,y,00:12:42,00:17:52,00:17:12,s,0,0,0,0,0,,
39,,,,,,,,,,,,,
40,,,,,,,,,,,,,
41,greenhouse-0,n,00:15:02,00:25:06,,u,0,0,0,0,0,,
42,,,,,,,,,,,,,
43,galaxy-3,n,00:18:48,00:29:26,,u,1,0,0,0,0,,
44,,,,,,,,,,,,,
45,,,,,,,,,,,,,
46,,,,,,,,,,,,,
47,,,,,,,,,,,,,
48,galaxy-0,y,00:17:46,00:27:53,,u,0,0,0,0,0,,
49,,,,,,,,,,,,,
50,greenhouse-1,n,00:15:21,00:26:17,,u,0,0,0,0,0,,
51,,,,,,,,,,,,,
52,,,,,,,,,,,,,
53,greenhouse-0,n,00:18:05,00:28:35,,u,0,0,0,0,0,,
54,,,,,,,,,,,,,
55,,,,,,,,,,,,,
56,greenhouse-1,n,00:19:24,00:29:50,,u,0,0,0,0,0,,
57,galaxy-3,n,00:16:02,00:26:08,00:21:26,u,0,0,0,0,0,,
58,greenhouse-0,n,00:13:19,00:22:03,00:20:59,u,0,0,0,0,0,,
59,greenhouse-0,y,00:00:57,00:07:33,00:02:11,s,0,0,0,0,0,,
60,,,,,,,,,,,,,
61,,,,,,,,,,,,,
62,galaxy-3,n,00:14:13,00:24:29,,u,1,0,0,0,0,,
63,galaxy-3,y,00:13:52,00:24:14,00:17:38,u,0,0,0,0,0,,
64,greenhouse-1,y,00:13:17,00:15:12,00:14:57,s,0,0,0,0,0,,
65,galaxy-3,n,00:09:47,00:20:05,00:16:28,u,1,0,0,0,0,,
66,galaxy-0,y,00:10:40,00:21:18,00:12:39,u,0,0,0,0,0,,
67,galaxy-0,n,00:15:19,00:25:59,,u,0,0,0,0,0,,
68,galaxy-0,y,00:10:52,00:19:31,00:12:00,s,0,0,0,0,0,,
69,greenhouse-0,y,00:08:20,00:22:21,00:11:20,u,0,0,0,0,0,0:14:44,0:16:36
70,,,,,,,,,,,,,
71,,,,,,,,,,,,,
72,,,,,,,,,,,,,
73,greenhouse-0,y,00:14:55,00:25:04,00:19:04,u,0,0,0,0,0,,
74,galaxy-3,y,00:12:14,00:17:50,00:15:56,s,0,0,0,0,0,,
75,galaxy-3,y,00:13:36,00:23:30,00:20:54,u,0,0,0,0,0,,
