workspace,filename,cause,numberTreeNodes,rank,rust
"diesel","src/bad_insertable_field.rs","Text: Expression",32,0,0
"diesel","src/invalid_query.rs","Count == Once",52636,0,0
"diesel","src/invalid_select.rs","id: SelectableExpression",5779,0,0
"axum","src/tests/argument_not_extractor.rs","bool: FromRequestParts",13408,0,2
"axum","src/tests/extract_self_mut.rs","&'_ mut A: FromRequestParts",18476,0,2
"axum","src/tests/extract_self_ref.rs","&A: FromRequestParts",18476,0,2
"axum","src/tests/missing_deserialize.rs","Test: Deserialize",13444,0,2
"axum","src/tests/multiple_body_extractors.rs","String: FromRequestParts",13804,0,2
"axum","src/tests/not_a_function.rs","A: IntoResponse",9428,0,2
"axum","src/tests/not_async.rs","(): Future",9090,0,2
"axum","src/tests/not_send.rs","Rc<()>: Send",13534,0,5
"axum","src/tests/request_not_last.rs","Request<Body>: FromRequestParts",16324,0,2
"axum","src/tests/too_many_extractors.rs",": FnOnce<(________________)>",24370,0,2
"axum","src/tests/wrong_return_type.rs","bool: IntoResponse",13372,0,2
"entrait","src/missing_impl_deep.rs","Impl<()>: T4",26,0,3
"bevy","src/main.rs","Timer: SystemParam",24163,0,6
"nalgebra","src/mat_mul.rs","ShapeConstraint",40679,0,8
